ticker,score,zona,precio,ratio,precio_ars,rsi,estructura
AMD,4,Near Discount,197.74,10.0,28846.0,44.2,Alcista Debil
PLTR,3,Discount,153.5,3.0,74642.0,56.2,Alcista Debil
META,3,Near Discount,638.18,24.0,38791.0,43.3,Alcista Debil
TSLA,3,Near Discount,395.01,15.0,38416.0,41.7,Alcista Debil
BITF,3,Near Discount,2.22,0.2,16193.0,49.8,Alcista Debil
AAPL,3,Near Discount,255.76,20.0,18655.0,39.8,Alcista Debil
LOMA,4,Discount,10.33,5.0,3014.0,42.3,Alcista Debil
SUPV,3,Near Discount,8.78,5.0,2562.0,38.6,Alcista Debil
GGAL,3,Near Discount,43.11,10.0,6289.0,39.8,Alcista Debil
TXAR.BA,3,Near Discount,645.5,1.0,645.5,46.0,Alcista Debil
COME.BA,3,Near Discount,44.15,1.0,44.15,44.9,Alcista Debil
