ticker,score,zona,precio,ratio,precio_ars,rsi,estructura
PLTR,4,Discount,154.78,3.0,75868.0,53.9,Alcista Debil
ANF,4,Near Discount,88.84,1.0,130639.0,46.3,Alcista Debil
AAPL,3,Discount,251.64,20.0,18502.0,40.9,Alcista Debil
BITF,3,Near Discount,2.21,0.2,16249.0,48.4,Alcista Debil
SUPV,4,Near Discount,8.78,5.0,2582.0,45.3,Alcista Debil
LOMA,3,Near Discount,10.97,5.0,3226.0,56.7,Alcista Debil
ALUA.BA,4,Discount,797.0,1.0,797.0,41.1,Alcista Debil
CVH.BA,3,Discount,6980.0,1.0,6980.0,46.0,Alcista Debil
TXAR.BA,3,Discount,631.0,1.0,631.0,45.4,Alcista Debil
COME.BA,3,Near Discount,45.79,1.0,45.79,52.1,Alcista Debil
