Ticker,Sector,ETF_Ref,Score,Senales,Precio,Target_1pct,Stop,RR,Absorcion_Vol,RS_vs_ETF,RS_ETF_vs_SPY,Ret_5d_pct,Squeeze_Ratio,Gap_pct,PC_Ratio,TradingView
AXON,Industrials,XLI,3,rs + gap + opciones,510.38,515.48,507.83,2.0,,1.15,1.018,17.86,,4.83,1.867,https://www.tradingview.com/chart/?symbol=AXON
ABNB,Consumer Cyclical,XLY,2,rs + opciones,148.55,150.04,147.81,2.0,,1.042,1.02,6.99,,,0.062,https://www.tradingview.com/chart/?symbol=ABNB
ADBE,Technology,XLK,2,gap + opciones,205.57,207.63,204.55,2.0,,,,,,2.11,0.313,https://www.tradingview.com/chart/?symbol=ADBE
BKNG,Consumer Cyclical,XLY,2,rs + gap,183.09,184.92,182.17,2.0,,1.056,1.02,8.37,,1.94,,https://www.tradingview.com/chart/?symbol=BKNG
CRL,Healthcare,XLV,2,rs + opciones,220.78,222.99,219.68,2.0,,1.123,1.047,18.32,,,0.262,https://www.tradingview.com/chart/?symbol=CRL
DDOG,Technology,XLK,2,gap + opciones,250.35,252.85,249.1,2.0,,,,,,2.18,0.411,https://www.tradingview.com/chart/?symbol=DDOG
GLW,Technology,XLK,2,absorcion + opciones,251.64,254.16,250.38,2.0,2.77,,,,,,0.662,https://www.tradingview.com/chart/?symbol=GLW
GOOG,Communication Services,XLC,2,gap + opciones,349.24,352.73,347.49,2.0,,,,,,1.55,0.167,https://www.tradingview.com/chart/?symbol=GOOG
GOOGL,Communication Services,XLC,2,gap + opciones,351.09,354.6,349.33,2.0,,,,,,1.31,0.467,https://www.tradingview.com/chart/?symbol=GOOGL
GPN,Industrials,XLI,2,rs + opciones,70.58,71.29,70.23,2.0,,1.072,1.018,9.8,,,0.388,https://www.tradingview.com/chart/?symbol=GPN
HCA,Healthcare,XLV,2,squeeze + opciones,390.06,393.96,388.11,2.0,,,,,0.581,,0.235,https://www.tradingview.com/chart/?symbol=HCA
HD,Consumer Cyclical,XLY,2,rs + squeeze,348.83,352.32,347.09,2.0,,1.047,1.02,7.52,0.582,,,https://www.tradingview.com/chart/?symbol=HD
INCY,Healthcare,XLV,2,rs + opciones,113.4,114.54,112.84,2.0,,1.031,1.047,8.63,,,0.104,https://www.tradingview.com/chart/?symbol=INCY
IP,Consumer Cyclical,XLY,2,squeeze + opciones,37.61,37.99,37.42,2.0,,,,,0.597,,0.22,https://www.tradingview.com/chart/?symbol=IP
ISRG,Healthcare,XLV,2,gap + opciones,408.12,412.2,406.08,2.0,,,,,,1.21,0.316,https://www.tradingview.com/chart/?symbol=ISRG
LRCX,Technology,XLK,2,gap + opciones,413.0,417.13,410.94,2.0,,,,,,1.36,0.497,https://www.tradingview.com/chart/?symbol=LRCX
META,Communication Services,XLC,2,gap + opciones,563.34,568.97,560.52,2.0,,,,,,1.77,0.52,https://www.tradingview.com/chart/?symbol=META
MGM,Consumer Cyclical,XLY,2,rs + opciones,50.02,50.52,49.77,2.0,,1.039,1.02,6.61,,,0.239,https://www.tradingview.com/chart/?symbol=MGM
MRNA,Healthcare,XLV,2,rs + opciones,68.41,69.09,68.07,2.0,,1.064,1.047,12.15,,,0.464,https://www.tradingview.com/chart/?symbol=MRNA
NOW,Technology,XLK,2,gap + opciones,99.96,100.95,99.46,2.0,,,,,,2.18,0.391,https://www.tradingview.com/chart/?symbol=NOW
OMC,Communication Services,XLC,2,gap + opciones,74.11,74.85,73.73,2.0,,,,,,1.93,0.441,https://www.tradingview.com/chart/?symbol=OMC
PHM,Consumer Cyclical,XLY,2,rs + opciones,137.37,138.74,136.68,2.0,,1.058,1.02,8.55,,,0.323,https://www.tradingview.com/chart/?symbol=PHM
TSCO,Consumer Cyclical,XLY,2,rs + opciones,31.53,31.85,31.37,2.0,,1.035,1.02,6.23,,,0.27,https://www.tradingview.com/chart/?symbol=TSCO
TTD,Communication Services,XLC,2,gap + opciones,18.52,18.71,18.43,2.0,,,,,,3.27,0.211,https://www.tradingview.com/chart/?symbol=TTD
ZS,Technology,XLK,2,gap + opciones,137.38,138.75,136.69,2.0,,,,,,1.69,0.276,https://www.tradingview.com/chart/?symbol=ZS
