Ticker,Sector,ETF_Ref,Score,Senales,Precio,Target_1pct,Stop,RR,Absorcion_Vol,RS_vs_ETF,RS_ETF_vs_SPY,Ret_5d_pct,Squeeze_Ratio,Gap_pct,PC_Ratio,TradingView
ADP,Technology,XLK,3,rs + gap + opciones,210.99,213.1,209.94,2.0,,1.044,1.015,6.28,,4.32,0.4,https://www.tradingview.com/chart/?symbol=ADP
CARR,Industrials,XLI,3,squeeze + gap + opciones,62.96,63.59,62.65,2.0,,,,,0.592,1.66,0.405,https://www.tradingview.com/chart/?symbol=CARR
VLO,Energy,XLE,3,rs + gap + opciones,248.04,250.52,246.8,2.0,,1.034,1.023,6.08,,1.42,0.361,https://www.tradingview.com/chart/?symbol=VLO
MPC,Energy,XLE,3,rs + gap + opciones,241.32,243.73,240.11,2.0,,1.064,1.023,9.14,,1.44,0.022,https://www.tradingview.com/chart/?symbol=MPC
FANG,Energy,XLE,2,gap + opciones,203.33,205.36,202.31,2.0,,,,,,1.23,0.268,https://www.tradingview.com/chart/?symbol=FANG
FFIV,Technology,XLK,2,rs + gap,324.99,328.24,323.37,2.0,,1.065,1.015,8.37,,3.2,,https://www.tradingview.com/chart/?symbol=FFIV
APA,Energy,XLE,2,gap + opciones,39.51,39.91,39.31,2.0,,,,,,2.78,0.191,https://www.tradingview.com/chart/?symbol=APA
CF,Basic Materials,XLB,2,gap + opciones,124.35,125.59,123.73,2.0,,,,,,1.45,0.354,https://www.tradingview.com/chart/?symbol=CF
INTC,Technology,XLK,2,rs + gap,92.88,93.81,92.42,2.0,,1.367,1.015,39.08,,1.92,,https://www.tradingview.com/chart/?symbol=INTC
GD,Industrials,XLI,2,gap + opciones,344.93,348.38,343.21,2.0,,,,,,7.78,0.278,https://www.tradingview.com/chart/?symbol=GD
MCHP,Technology,XLK,2,gap + opciones,88.64,89.53,88.2,2.0,,,,,,5.64,0.396,https://www.tradingview.com/chart/?symbol=MCHP
LYB,Basic Materials,XLB,2,gap + opciones,72.51,73.24,72.15,2.0,,,,,,1.62,0.372,https://www.tradingview.com/chart/?symbol=LYB
MDLZ,Consumer Defensive,XLP,2,gap + opciones,61.32,61.93,61.01,2.0,,,,,,2.66,0.368,https://www.tradingview.com/chart/?symbol=MDLZ
MLM,Basic Materials,XLB,2,gap + opciones,618.52,624.71,615.43,2.0,,,,,,1.33,0.361,https://www.tradingview.com/chart/?symbol=MLM
MTCH,Communication Services,XLC,2,squeeze + opciones,36.94,37.3,36.75,2.0,,,,,0.518,,0.459,https://www.tradingview.com/chart/?symbol=MTCH
MA,Financial Services,XLF,2,gap + opciones,526.56,531.83,523.93,2.0,,,,,,4.41,0.253,https://www.tradingview.com/chart/?symbol=MA
MU,Technology,XLK,2,rs + gap,519.17,524.36,516.57,2.0,,1.059,1.015,7.77,,4.31,,https://www.tradingview.com/chart/?symbol=MU
NXPI,Technology,XLK,2,rs + opciones,285.41,288.26,283.98,2.0,,1.163,1.015,18.35,,,0.691,https://www.tradingview.com/chart/?symbol=NXPI
TFX,Healthcare,XLV,2,squeeze + opciones,135.43,136.78,134.75,2.0,,,,,0.541,,0.004,https://www.tradingview.com/chart/?symbol=TFX
QCOM,Technology,XLK,2,rs + opciones,153.81,155.35,153.04,2.0,,1.128,1.015,14.83,,,0.187,https://www.tradingview.com/chart/?symbol=QCOM
TTD,Communication Services,XLC,2,gap + opciones,23.94,24.18,23.83,2.0,,,,,,1.55,0.202,https://www.tradingview.com/chart/?symbol=TTD
TXN,Technology,XLK,2,gap + opciones,271.55,274.27,270.19,2.0,,,,,,1.75,0.465,https://www.tradingview.com/chart/?symbol=TXN
USB,Financial Services,XLF,2,squeeze + opciones,55.78,56.34,55.51,2.0,,,,,0.589,,0.343,https://www.tradingview.com/chart/?symbol=USB
VRSN,Technology,XLK,2,squeeze + opciones,270.64,273.35,269.29,2.0,,,,,0.575,,0.183,https://www.tradingview.com/chart/?symbol=VRSN
