Ticker,Sector,ETF_Ref,Score,Senales,Precio,Target_1pct,Stop,RR,Absorcion_Vol,RS_vs_ETF,RS_ETF_vs_SPY,Ret_5d_pct,Squeeze_Ratio,Gap_pct,PC_Ratio,TradingView
ALL,Financial Services,XLF,3,rs + gap + opciones,218.6,220.79,217.51,2.0,,1.039,1.031,5.5,,1.25,0.432,https://www.tradingview.com/chart/?symbol=ALL
COO,Healthcare,XLV,3,rs + gap + opciones,66.61,67.28,66.28,2.0,,1.059,1.061,10.67,,4.97,0.072,https://www.tradingview.com/chart/?symbol=COO
ABBV,Healthcare,XLV,2,rs + opciones,229.27,231.56,228.12,2.0,,1.031,1.061,7.67,,,0.092,https://www.tradingview.com/chart/?symbol=ABBV
BDX,Healthcare,XLV,2,gap + opciones,152.34,153.86,151.58,2.0,,,,,,1.48,0.122,https://www.tradingview.com/chart/?symbol=BDX
BRO,Financial Services,XLF,2,gap + opciones,58.18,58.76,57.89,2.0,,,,,,1.53,0.087,https://www.tradingview.com/chart/?symbol=BRO
CMG,Consumer Cyclical,XLY,2,gap + opciones,29.48,29.77,29.33,2.0,,,,,,3.23,0.388,https://www.tradingview.com/chart/?symbol=CMG
HAS,Consumer Cyclical,XLY,2,squeeze + opciones,84.28,85.12,83.85,2.0,,,,,0.486,,0.077,https://www.tradingview.com/chart/?symbol=HAS
HPQ,Technology,XLK,2,squeeze + opciones,25.34,25.6,25.22,2.0,,,,,0.588,,0.34,https://www.tradingview.com/chart/?symbol=HPQ
INCY,Healthcare,XLV,2,rs + opciones,104.87,105.92,104.35,2.0,,1.05,1.061,9.71,,,0.168,https://www.tradingview.com/chart/?symbol=INCY
JCI,Industrials,XLI,2,rs + opciones,145.06,146.51,144.33,2.0,,1.065,1.034,8.33,,,0.155,https://www.tradingview.com/chart/?symbol=JCI
JPM,Financial Services,XLF,2,rs + opciones,311.26,314.37,309.7,2.0,,1.034,1.031,4.95,,,0.422,https://www.tradingview.com/chart/?symbol=JPM
KEY,Financial Services,XLF,2,rs + opciones,21.78,22.0,21.68,2.0,,1.037,1.031,5.27,,,0.025,https://www.tradingview.com/chart/?symbol=KEY
LIN,Basic Materials,XLB,2,rs + opciones,512.34,517.46,509.77,2.0,,1.034,1.016,3.33,,,0.375,https://www.tradingview.com/chart/?symbol=LIN
LLY,Healthcare,XLV,2,gap + opciones,1159.01,1170.6,1153.21,2.0,,,,,,1.57,0.22,https://www.tradingview.com/chart/?symbol=LLY
MDT,Healthcare,XLV,2,rs + opciones,82.04,82.86,81.62,2.0,,1.062,1.061,10.89,,,0.199,https://www.tradingview.com/chart/?symbol=MDT
MTB,Financial Services,XLF,2,rs + opciones,223.52,225.76,222.4,2.0,,1.041,1.031,5.62,,,0.265,https://www.tradingview.com/chart/?symbol=MTB
PCAR,Industrials,XLI,2,rs + opciones,117.92,119.09,117.33,2.0,,1.059,1.034,7.71,,,0.251,https://www.tradingview.com/chart/?symbol=PCAR
PGR,Financial Services,XLF,2,rs + gap,202.51,204.54,201.5,2.0,,1.035,1.031,5.11,,1.48,,https://www.tradingview.com/chart/?symbol=PGR
PH,Industrials,XLI,2,rs + opciones,889.07,897.96,884.62,2.0,,1.061,1.034,7.99,,,0.18,https://www.tradingview.com/chart/?symbol=PH
PNR,Industrials,XLI,2,squeeze + opciones,73.32,74.05,72.95,2.0,,,,,0.565,,0.343,https://www.tradingview.com/chart/?symbol=PNR
STZ,Consumer Defensive,XLP,2,squeeze + opciones,139.15,140.54,138.45,2.0,,,,,0.471,,0.155,https://www.tradingview.com/chart/?symbol=STZ
TMUS,Communication Services,XLC,2,gap + opciones,177.48,179.25,176.59,2.0,,,,,,1.53,0.401,https://www.tradingview.com/chart/?symbol=TMUS
WFC,Financial Services,XLF,2,rs + opciones,81.76,82.57,81.35,2.0,,1.044,1.031,5.94,,,0.288,https://www.tradingview.com/chart/?symbol=WFC
