Ticker,Sector,ETF_Ref,Score,Senales,Precio,Target_1pct,Stop,RR,Absorcion_Vol,RS_vs_ETF,RS_ETF_vs_SPY,Ret_5d_pct,Squeeze_Ratio,Gap_pct,PC_Ratio,TradingView
NKE,Consumer Cyclical,XLY,3,rs + gap + opciones,44.25,44.69,44.03,2.0,,1.061,1.002,8.58,,2.44,0.456,https://www.tradingview.com/chart/?symbol=NKE
SPGI,Financial Services,XLF,3,rs + gap + opciones,430.62,434.93,428.47,2.0,,1.08,1.011,11.52,,2.0,0.053,https://www.tradingview.com/chart/?symbol=SPGI
MSCI,Financial Services,XLF,3,rs + gap + opciones,597.98,603.96,595.0,2.0,,1.044,1.011,7.77,,1.73,0.175,https://www.tradingview.com/chart/?symbol=MSCI
ADBE,Technology,XLK,2,gap + opciones,217.24,219.41,216.15,2.0,,,,,,2.17,0.415,https://www.tradingview.com/chart/?symbol=ADBE
DHR,Healthcare,XLV,2,gap + opciones,196.62,198.59,195.64,2.0,,,,,,1.94,0.248,https://www.tradingview.com/chart/?symbol=DHR
AJG,Financial Services,XLF,2,rs + opciones,247.27,249.75,246.04,2.0,,1.059,1.011,9.41,,,0.5,https://www.tradingview.com/chart/?symbol=AJG
BIIB,Healthcare,XLV,2,gap + opciones,217.93,220.1,216.84,2.0,,,,,,1.33,0.188,https://www.tradingview.com/chart/?symbol=BIIB
BRO,Financial Services,XLF,2,rs + opciones,68.82,69.51,68.48,2.0,,1.038,1.011,7.16,,,0.367,https://www.tradingview.com/chart/?symbol=BRO
GDDY,Technology,XLK,2,squeeze + opciones,87.93,88.81,87.49,2.0,,,,,0.599,,0.103,https://www.tradingview.com/chart/?symbol=GDDY
GOOG,Communication Services,XLC,2,rs + opciones,355.06,358.61,353.28,2.0,,1.033,1.005,6.09,,,0.263,https://www.tradingview.com/chart/?symbol=GOOG
GOOGL,Communication Services,XLC,2,rs + opciones,358.38,361.96,356.58,2.0,,1.034,1.005,6.22,,,0.347,https://www.tradingview.com/chart/?symbol=GOOGL
HII,Industrials,XLI,2,gap + opciones,286.14,289.0,284.71,2.0,,,,,,1.42,0.326,https://www.tradingview.com/chart/?symbol=HII
ISRG,Healthcare,XLV,2,gap + opciones,419.83,424.02,417.73,2.0,,,,,,1.85,0.267,https://www.tradingview.com/chart/?symbol=ISRG
DPZ,Consumer Cyclical,XLY,2,squeeze + gap,309.66,312.76,308.11,2.0,,,,,0.557,1.32,,https://www.tradingview.com/chart/?symbol=DPZ
EL,Consumer Defensive,XLP,2,gap + opciones,82.92,83.75,82.51,2.0,,,,,,2.72,0.3,https://www.tradingview.com/chart/?symbol=EL
FDS,Financial Services,XLF,2,rs + gap,249.73,252.23,248.48,2.0,,1.044,1.011,7.76,,1.81,,https://www.tradingview.com/chart/?symbol=FDS
MA,Financial Services,XLF,2,rs + gap,534.49,539.84,531.82,2.0,,1.037,1.011,7.11,,1.4,,https://www.tradingview.com/chart/?symbol=MA
LHX,Industrials,XLI,2,squeeze + gap,300.04,303.04,298.53,2.0,,,,,0.49,1.71,,https://www.tradingview.com/chart/?symbol=LHX
IT,Technology,XLK,2,gap + opciones,135.84,137.2,135.16,2.0,,,,,,1.47,0.414,https://www.tradingview.com/chart/?symbol=IT
MRNA,Healthcare,XLV,2,gap + opciones,77.16,77.93,76.77,2.0,,,,,,1.92,0.165,https://www.tradingview.com/chart/?symbol=MRNA
NDAQ,Financial Services,XLF,2,rs + gap,84.31,85.15,83.89,2.0,,1.039,1.011,7.32,,1.28,,https://www.tradingview.com/chart/?symbol=NDAQ
NFLX,Communication Services,XLC,2,gap + opciones,76.77,77.54,76.39,2.0,,,,,,1.3,0.208,https://www.tradingview.com/chart/?symbol=NFLX
PM,Consumer Defensive,XLP,2,gap + opciones,182.47,184.29,181.56,2.0,,,,,,1.88,0.429,https://www.tradingview.com/chart/?symbol=PM
MCO,Financial Services,XLF,2,rs + gap,482.32,487.14,479.91,2.0,,1.038,1.011,7.18,,1.26,,https://www.tradingview.com/chart/?symbol=MCO
RJF,Financial Services,XLF,2,rs + gap,161.65,163.27,160.85,2.0,,1.048,1.011,8.2,,1.21,,https://www.tradingview.com/chart/?symbol=RJF
RTX,Industrials,XLI,2,gap + opciones,196.4,198.36,195.41,2.0,,,,,,1.56,0.055,https://www.tradingview.com/chart/?symbol=RTX
STE,Healthcare,XLV,2,gap + opciones,215.32,217.47,214.24,2.0,,,,,,1.33,0.357,https://www.tradingview.com/chart/?symbol=STE
TAP,Consumer Defensive,XLP,2,gap + opciones,39.9,40.3,39.7,2.0,,,,,,1.33,0.27,https://www.tradingview.com/chart/?symbol=TAP
TMUS,Communication Services,XLC,2,gap + opciones,176.5,178.27,175.62,2.0,,,,,,1.51,0.344,https://www.tradingview.com/chart/?symbol=TMUS
TYL,Technology,XLK,2,gap + opciones,310.52,313.63,308.97,2.0,,,,,,1.63,0.382,https://www.tradingview.com/chart/?symbol=TYL
V,Financial Services,XLF,2,rs + opciones,358.35,361.93,356.55,2.0,,1.032,1.011,6.58,,,0.256,https://www.tradingview.com/chart/?symbol=V
WTW,Financial Services,XLF,2,rs + opciones,282.68,285.51,281.27,2.0,,1.035,1.011,6.89,,,0.255,https://www.tradingview.com/chart/?symbol=WTW
