Ticker,Sector,ETF_Ref,Score,Senales,Precio,Target_1pct,Stop,RR,Absorcion_Vol,RS_vs_ETF,RS_ETF_vs_SPY,Ret_5d_pct,Squeeze_Ratio,Gap_pct,PC_Ratio,TradingView
APA,Energy,XLE,2,rs + gap,42.25,42.67,42.04,2.0,,1.049,1.021,8.03,,1.23,,https://www.tradingview.com/chart/?symbol=APA
BALL,Consumer Cyclical,XLY,2,rs + opciones,60.92,61.52,60.61,2.0,,1.039,1.018,6.76,,,0.459,https://www.tradingview.com/chart/?symbol=BALL
DPZ,Consumer Cyclical,XLY,2,squeeze + opciones,363.21,366.84,361.39,2.0,,,,,0.531,,0.253,https://www.tradingview.com/chart/?symbol=DPZ
FAST,Industrials,XLI,2,rs + opciones,45.8,46.26,45.57,2.0,,1.031,1.006,4.66,,,0.076,https://www.tradingview.com/chart/?symbol=FAST
FICO,Technology,XLK,2,squeeze + opciones,1058.04,1068.62,1052.75,2.0,,,,,0.598,,0.447,https://www.tradingview.com/chart/?symbol=FICO
FMC,Basic Materials,XLB,2,rs + opciones,15.72,15.88,15.64,2.0,,1.138,1.046,20.09,,,0.334,https://www.tradingview.com/chart/?symbol=FMC
GPC,Consumer Cyclical,XLY,2,rs + opciones,105.77,106.83,105.24,2.0,,1.068,1.018,9.74,,,0.169,https://www.tradingview.com/chart/?symbol=GPC
JBHT,Industrials,XLI,2,rs + opciones,209.58,211.68,208.53,2.0,,1.033,1.006,4.83,,,0.208,https://www.tradingview.com/chart/?symbol=JBHT
LKQ,Consumer Cyclical,XLY,2,rs + opciones,29.91,30.2,29.76,2.0,,1.03,1.018,5.82,,,0.47,https://www.tradingview.com/chart/?symbol=LKQ
MGM,Consumer Cyclical,XLY,2,rs + squeeze,37.94,38.32,37.75,2.0,,1.044,1.018,7.27,0.578,,,https://www.tradingview.com/chart/?symbol=MGM
MHK,Consumer Cyclical,XLY,2,rs + opciones,102.27,103.29,101.76,2.0,,1.035,1.018,6.3,,,0.114,https://www.tradingview.com/chart/?symbol=MHK
MOS,Basic Materials,XLB,2,rs + opciones,25.72,25.98,25.59,2.0,,1.033,1.046,9.03,,,0.491,https://www.tradingview.com/chart/?symbol=MOS
MRK,Healthcare,XLV,2,rs + opciones,119.74,120.94,119.14,2.0,,1.039,1.0,4.87,,,0.212,https://www.tradingview.com/chart/?symbol=MRK
MTD,Healthcare,XLV,2,rs + opciones,1275.22,1287.97,1268.84,2.0,,1.049,1.0,5.87,,,0.331,https://www.tradingview.com/chart/?symbol=MTD
PPG,Basic Materials,XLB,2,rs + opciones,107.31,108.38,106.77,2.0,,1.046,1.046,10.38,,,0.028,https://www.tradingview.com/chart/?symbol=PPG
TMO,Healthcare,XLV,2,rs + opciones,493.55,498.49,491.08,2.0,,1.031,1.0,4.04,,,0.252,https://www.tradingview.com/chart/?symbol=TMO
ULTA,Consumer Cyclical,XLY,2,squeeze + opciones,529.37,534.66,526.72,2.0,,,,,0.563,,0.385,https://www.tradingview.com/chart/?symbol=ULTA
URI,Industrials,XLI,2,rs + opciones,748.98,756.47,745.24,2.0,,1.038,1.006,5.42,,,0.5,https://www.tradingview.com/chart/?symbol=URI
WST,Healthcare,XLV,2,rs + opciones,251.38,253.89,250.12,2.0,,1.051,1.0,6.05,,,0.043,https://www.tradingview.com/chart/?symbol=WST
