Ticker,Sector,ETF_Ref,Score,Senales,Precio,Target_1pct,Stop,RR,Absorcion_Vol,RS_vs_ETF,RS_ETF_vs_SPY,Ret_5d_pct,Squeeze_Ratio,Gap_pct,PC_Ratio,TradingView
CF,Basic Materials,XLB,3,rs + squeeze + opciones,132.79,134.12,132.13,2.0,,1.074,1.054,10.49,0.485,,0.369,https://www.tradingview.com/chart/?symbol=CF
CE,Basic Materials,XLB,3,rs + squeeze + gap,63.13,63.76,62.81,2.0,,1.093,1.054,12.47,0.451,1.35,,https://www.tradingview.com/chart/?symbol=CE
BMY,Healthcare,XLV,2,rs + opciones,59.33,59.92,59.03,2.0,,1.04,1.025,4.09,,,0.374,https://www.tradingview.com/chart/?symbol=BMY
AFL,Financial Services,XLF,2,rs + opciones,108.13,109.21,107.59,2.0,,1.036,1.002,1.39,,,0.409,https://www.tradingview.com/chart/?symbol=AFL
DLTR,Consumer Defensive,XLP,2,squeeze + opciones,105.93,106.98,105.4,2.0,,,,,0.496,,0.454,https://www.tradingview.com/chart/?symbol=DLTR
FMC,Basic Materials,XLB,2,rs + opciones,15.48,15.63,15.4,2.0,,1.057,1.054,8.78,,,0.235,https://www.tradingview.com/chart/?symbol=FMC
KHC,Consumer Defensive,XLP,2,rs + opciones,22.08,22.31,21.97,2.0,,1.031,1.035,4.13,,,0.176,https://www.tradingview.com/chart/?symbol=KHC
LYB,Basic Materials,XLB,2,rs + squeeze,78.09,78.87,77.7,2.0,,1.062,1.054,9.26,0.486,,,https://www.tradingview.com/chart/?symbol=LYB
MRK,Healthcare,XLV,2,rs + opciones,119.97,121.17,119.37,2.0,,1.036,1.025,3.71,,,0.27,https://www.tradingview.com/chart/?symbol=MRK
MTB,Financial Services,XLF,2,rs + opciones,203.05,205.08,202.03,2.0,,1.034,1.002,1.19,,,0.213,https://www.tradingview.com/chart/?symbol=MTB
PFG,Financial Services,XLF,2,rs + opciones,88.82,89.71,88.38,2.0,,1.049,1.002,2.62,,,0.239,https://www.tradingview.com/chart/?symbol=PFG
STT,Financial Services,XLF,2,rs + opciones,124.25,125.5,123.63,2.0,,1.031,1.002,0.83,,,0.199,https://www.tradingview.com/chart/?symbol=STT
TFX,Healthcare,XLV,2,rs + gap,115.68,116.84,115.1,2.0,,1.092,1.025,9.29,,3.67,,https://www.tradingview.com/chart/?symbol=TFX
TROW,Financial Services,XLF,2,rs + opciones,89.6,90.5,89.15,2.0,,1.041,1.002,1.84,,,0.389,https://www.tradingview.com/chart/?symbol=TROW
TSN,Consumer Defensive,XLP,2,rs + opciones,63.76,64.39,63.44,2.0,,1.057,1.035,6.79,,,0.094,https://www.tradingview.com/chart/?symbol=TSN
ULTA,Consumer Cyclical,XLY,2,squeeze + opciones,520.42,525.62,517.82,2.0,,,,,0.467,,0.458,https://www.tradingview.com/chart/?symbol=ULTA
