Ticker,Sector,ETF_Ref,Score,Senales,Precio,Target_1pct,Stop,RR,Absorcion_Vol,RS_vs_ETF,RS_ETF_vs_SPY,Ret_5d_pct,Squeeze_Ratio,Gap_pct,PC_Ratio,TradingView
A,Healthcare,XLV,3,rs + gap + opciones,131.54,132.86,130.88,2.0,,1.035,1.023,5.8,,1.84,0.133,https://www.tradingview.com/chart/?symbol=A
AAL,Industrials,XLI,3,rs + gap + opciones,17.26,17.43,17.17,2.0,,1.104,1.014,11.93,,1.86,0.64,https://www.tradingview.com/chart/?symbol=AAL
DHI,Consumer Cyclical,XLY,3,rs + gap + opciones,168.53,170.22,167.69,2.0,,1.091,1.013,10.53,,2.96,1.292,https://www.tradingview.com/chart/?symbol=DHI
EXPE,Consumer Cyclical,XLY,3,rs + gap + opciones,268.91,271.6,267.57,2.0,,1.109,1.013,12.29,,2.28,0.503,https://www.tradingview.com/chart/?symbol=EXPE
UAL,Industrials,XLI,3,rs + gap + opciones,128.68,129.96,128.03,2.0,,1.096,1.014,11.09,,2.02,0.48,https://www.tradingview.com/chart/?symbol=UAL
NUE,Basic Materials,XLB,3,squeeze + gap + opciones,241.56,243.98,240.35,2.0,,,,,0.471,1.29,0.312,https://www.tradingview.com/chart/?symbol=NUE
MAS,Industrials,XLI,3,rs + gap + opciones,77.91,78.69,77.52,2.0,,1.058,1.014,7.28,,1.24,0.24,https://www.tradingview.com/chart/?symbol=MAS
LEN,Consumer Cyclical,XLY,3,rs + gap + opciones,93.57,94.51,93.1,2.0,,1.068,1.013,8.2,,2.77,0.303,https://www.tradingview.com/chart/?symbol=LEN
IQV,Healthcare,XLV,3,rs + gap + opciones,183.66,185.5,182.74,2.0,,1.052,1.023,7.61,,1.99,0.259,https://www.tradingview.com/chart/?symbol=IQV
TMO,Healthcare,XLV,3,rs + gap + opciones,488.77,493.65,486.32,2.0,,1.035,1.023,5.86,,1.87,0.569,https://www.tradingview.com/chart/?symbol=TMO
PHM,Consumer Cyclical,XLY,3,rs + gap + opciones,138.79,140.18,138.1,2.0,,1.124,1.013,13.87,,2.48,0.454,https://www.tradingview.com/chart/?symbol=PHM
BDX,Healthcare,XLV,2,gap + opciones,147.86,149.34,147.12,2.0,,,,,,1.21,0.384,https://www.tradingview.com/chart/?symbol=BDX
BKNG,Consumer Cyclical,XLY,2,rs + gap,184.15,186.0,183.23,2.0,,1.059,1.013,7.3,,1.32,,https://www.tradingview.com/chart/?symbol=BKNG
CINF,Financial Services,XLF,2,rs + opciones,179.09,180.88,178.19,2.0,,1.046,1.004,5.01,,,0.148,https://www.tradingview.com/chart/?symbol=CINF
COP,Energy,XLE,2,squeeze + opciones,106.59,107.66,106.06,2.0,,,,,0.535,,0.194,https://www.tradingview.com/chart/?symbol=COP
CRL,Healthcare,XLV,2,rs + gap,200.85,202.86,199.85,2.0,,1.077,1.023,10.15,,1.77,,https://www.tradingview.com/chart/?symbol=CRL
CARR,Industrials,XLI,2,rs + gap,74.18,74.92,73.81,2.0,,1.053,1.014,6.75,,1.33,,https://www.tradingview.com/chart/?symbol=CARR
DAL,Industrials,XLI,2,rs + gap,90.25,91.16,89.8,2.0,,1.082,1.014,9.73,,1.97,,https://www.tradingview.com/chart/?symbol=DAL
BBY,Consumer Cyclical,XLY,2,rs + gap,77.57,78.35,77.18,2.0,,1.061,1.013,7.53,,1.21,,https://www.tradingview.com/chart/?symbol=BBY
CCL,Consumer Cyclical,XLY,2,gap + opciones,29.61,29.91,29.46,2.0,,,,,,2.05,0.277,https://www.tradingview.com/chart/?symbol=CCL
ABBV,Healthcare,XLV,2,rs + opciones,234.0,236.34,232.83,2.0,,1.034,1.023,5.77,,,0.347,https://www.tradingview.com/chart/?symbol=ABBV
BAX,Healthcare,XLV,2,rs + opciones,20.83,21.04,20.73,2.0,,1.05,1.023,7.43,,,0.049,https://www.tradingview.com/chart/?symbol=BAX
BBWI,Consumer Cyclical,XLY,2,rs + gap,21.47,21.68,21.36,2.0,,1.035,1.013,4.81,,2.46,,https://www.tradingview.com/chart/?symbol=BBWI
ACN,Technology,XLK,2,absorcion + opciones,128.38,129.66,127.74,2.0,3.05,,,,,,0.334,https://www.tradingview.com/chart/?symbol=ACN
APTV,Consumer Cyclical,XLY,2,squeeze + opciones,61.68,62.3,61.37,2.0,,,,,0.511,,0.169,https://www.tradingview.com/chart/?symbol=APTV
GIS,Consumer Defensive,XLP,2,rs + opciones,35.14,35.49,34.96,2.0,,1.034,1.019,5.34,,,0.428,https://www.tradingview.com/chart/?symbol=GIS
FITB,Financial Services,XLF,2,rs + opciones,55.27,55.82,54.99,2.0,,1.047,1.004,5.12,,,0.207,https://www.tradingview.com/chart/?symbol=FITB
ENPH,Technology,XLK,2,gap + opciones,49.0,49.49,48.76,2.0,,,,,,2.46,0.494,https://www.tradingview.com/chart/?symbol=ENPH
ECL,Basic Materials,XLB,2,gap + opciones,279.43,282.22,278.03,2.0,,,,,,1.5,0.132,https://www.tradingview.com/chart/?symbol=ECL
DLTR,Consumer Defensive,XLP,2,rs + gap,118.45,119.63,117.86,2.0,,1.093,1.019,11.31,,1.61,,https://www.tradingview.com/chart/?symbol=DLTR
EA,Communication Services,XLC,2,squeeze + opciones,204.65,206.69,203.62,2.0,,,,,0.568,,0.143,https://www.tradingview.com/chart/?symbol=EA
DHR,Healthcare,XLV,2,rs + opciones,188.06,189.94,187.12,2.0,,1.034,1.023,5.79,,,0.243,https://www.tradingview.com/chart/?symbol=DHR
HBAN,Financial Services,XLF,2,rs + opciones,17.67,17.85,17.58,2.0,,1.045,1.004,4.87,,,0.465,https://www.tradingview.com/chart/?symbol=HBAN
KR,Consumer Defensive,XLP,2,gap + opciones,58.36,58.94,58.07,2.0,,,,,,1.24,0.355,https://www.tradingview.com/chart/?symbol=KR
KMB,Consumer Defensive,XLP,2,rs + opciones,107.44,108.51,106.9,2.0,,1.039,1.019,5.88,,,0.366,https://www.tradingview.com/chart/?symbol=KMB
LKQ,Consumer Cyclical,XLY,2,rs + opciones,26.22,26.48,26.09,2.0,,1.035,1.013,4.8,,,0.162,https://www.tradingview.com/chart/?symbol=LKQ
L,Financial Services,XLF,2,rs + opciones,111.65,112.77,111.09,2.0,,1.033,1.004,3.69,,,0.019,https://www.tradingview.com/chart/?symbol=L
IT,Technology,XLK,2,squeeze + opciones,131.1,132.41,130.44,2.0,,,,,0.583,,0.25,https://www.tradingview.com/chart/?symbol=IT
JBHT,Industrials,XLI,2,squeeze + opciones,271.12,273.83,269.76,2.0,,,,,0.581,,0.385,https://www.tradingview.com/chart/?symbol=JBHT
INCY,Healthcare,XLV,2,rs + opciones,108.28,109.36,107.74,2.0,,1.07,1.023,9.38,,,0.12,https://www.tradingview.com/chart/?symbol=INCY
IP,Consumer Cyclical,XLY,2,rs + gap,38.08,38.47,37.89,2.0,,1.04,1.013,5.32,,1.37,,https://www.tradingview.com/chart/?symbol=IP
MTD,Healthcare,XLV,2,rs + gap,1207.39,1219.46,1201.35,2.0,,1.045,1.023,6.89,,1.67,,https://www.tradingview.com/chart/?symbol=MTD
MOS,Basic Materials,XLB,2,squeeze + opciones,21.34,21.55,21.23,2.0,,,,,0.584,,0.327,https://www.tradingview.com/chart/?symbol=MOS
LUV,Industrials,XLI,2,rs + gap,50.83,51.34,50.58,2.0,,1.074,1.014,8.94,,1.7,,https://www.tradingview.com/chart/?symbol=LUV
LULU,Consumer Cyclical,XLY,2,gap + opciones,112.29,113.41,111.73,2.0,,,,,,1.82,0.365,https://www.tradingview.com/chart/?symbol=LULU
NWL,Consumer Defensive,XLP,2,rs + opciones,5.45,5.51,5.43,2.0,,1.077,1.019,9.76,,,0.334,https://www.tradingview.com/chart/?symbol=NWL
ODFL,Industrials,XLI,2,squeeze + opciones,218.92,221.11,217.83,2.0,,,,,0.539,,0.35,https://www.tradingview.com/chart/?symbol=ODFL
NVR,Consumer Cyclical,XLY,2,rs + gap,6815.22,6883.37,6781.14,2.0,,1.072,1.013,8.59,,1.26,,https://www.tradingview.com/chart/?symbol=NVR
NEM,Basic Materials,XLB,2,squeeze + opciones,94.11,95.05,93.64,2.0,,,,,0.575,,0.323,https://www.tradingview.com/chart/?symbol=NEM
RCL,Consumer Cyclical,XLY,2,rs + gap,325.6,328.86,323.97,2.0,,1.066,1.013,8.0,,1.78,,https://www.tradingview.com/chart/?symbol=RCL
PPG,Basic Materials,XLB,2,gap + opciones,121.56,122.78,120.95,2.0,,,,,,1.24,0.092,https://www.tradingview.com/chart/?symbol=PPG
SHW,Basic Materials,XLB,2,gap + opciones,335.8,339.16,334.12,2.0,,,,,,1.37,0.32,https://www.tradingview.com/chart/?symbol=SHW
SWK,Industrials,XLI,2,rs + gap,89.24,90.13,88.79,2.0,,1.067,1.014,8.21,,1.56,,https://www.tradingview.com/chart/?symbol=SWK
TGT,Consumer Defensive,XLP,2,rs + opciones,138.8,140.19,138.11,2.0,,1.066,1.019,8.6,,,0.435,https://www.tradingview.com/chart/?symbol=TGT
TFC,Financial Services,XLF,2,rs + opciones,50.33,50.84,50.08,2.0,,1.041,1.004,4.49,,,0.305,https://www.tradingview.com/chart/?symbol=TFC
WST,Healthcare,XLV,2,rs + opciones,343.71,347.15,342.0,2.0,,1.039,1.023,6.22,,,0.263,https://www.tradingview.com/chart/?symbol=WST
XOM,Energy,XLE,2,squeeze + opciones,135.96,137.32,135.28,2.0,,,,,0.597,,0.454,https://www.tradingview.com/chart/?symbol=XOM
