ticker,score,zona,precio,ratio,precio_ars,rsi,estructura
SLV,4,Discount,66.2,1.0,99591.0,43.1,Alcista Debil
ASTS,3,Discount,71.88,1.0,108136.0,38.0,Alcista Debil
GOLD,3,Near Discount,45.72,2.0,34391.0,49.0,Alcista Debil
GLD,3,Discount,421.91,50.0,12694.0,41.1,Alcista
BMA,3,Discount,75.45,10.0,11351.0,45.8,Alcista Debil
SUPV,3,Near Discount,8.92,5.0,2684.0,42.7,Alcista Debil
BBAR.BA,4,Near Discount,7455.0,1.0,7455.0,47.0,Alcista Debil
