Ticker,Sector,ETF_Ref,Score,Senales,Precio,Target_1pct,Stop,RR,Absorcion_Vol,RS_vs_ETF,RS_ETF_vs_SPY,Ret_5d_pct,Squeeze_Ratio,Gap_pct,PC_Ratio,TradingView
ACGL,Financial Services,XLF,2,rs + opciones,96.96,97.93,96.48,2.0,,1.033,1.017,3.74,,,0.008,https://www.tradingview.com/chart/?symbol=ACGL
APH,Technology,XLK,2,squeeze + opciones,121.11,122.32,120.5,2.0,,,,,0.6,,0.164,https://www.tradingview.com/chart/?symbol=APH
BSX,Healthcare,XLV,2,rs + opciones,56.36,56.92,56.08,2.0,,1.055,1.011,5.25,,,0.459,https://www.tradingview.com/chart/?symbol=BSX
DVA,Healthcare,XLV,2,rs + squeeze,198.18,200.16,197.19,2.0,,1.031,1.011,2.91,0.464,,,https://www.tradingview.com/chart/?symbol=DVA
FDS,Financial Services,XLF,2,rs + opciones,222.62,224.84,221.5,2.0,,1.109,1.017,11.39,,,0.242,https://www.tradingview.com/chart/?symbol=FDS
GE,Industrials,XLI,2,gap + opciones,297.95,300.93,296.46,2.0,,,,,,1.3,0.459,https://www.tradingview.com/chart/?symbol=GE
GLW,Technology,XLK,2,gap + opciones,181.03,182.84,180.12,2.0,,,,,,2.76,0.413,https://www.tradingview.com/chart/?symbol=GLW
INCY,Healthcare,XLV,2,gap + opciones,97.21,98.18,96.72,2.0,,,,,,2.93,0.297,https://www.tradingview.com/chart/?symbol=INCY
KEYS,Technology,XLK,2,absorcion + opciones,331.96,335.28,330.3,2.0,2.9,,,,,,0.308,https://www.tradingview.com/chart/?symbol=KEYS
MS,Financial Services,XLF,2,gap + opciones,196.86,198.83,195.88,2.0,,,,,,1.26,0.063,https://www.tradingview.com/chart/?symbol=MS
NXPI,Technology,XLK,2,gap + opciones,304.67,307.71,303.14,2.0,,,,,,1.26,0.206,https://www.tradingview.com/chart/?symbol=NXPI
TAP,Consumer Defensive,XLP,2,rs + opciones,42.96,43.39,42.75,2.0,,1.042,1.023,5.27,,,0.183,https://www.tradingview.com/chart/?symbol=TAP
TEL,Technology,XLK,2,gap + opciones,201.0,203.01,200.0,2.0,,,,,,2.21,0.175,https://www.tradingview.com/chart/?symbol=TEL
TJX,Consumer Cyclical,XLY,2,gap + opciones,159.98,161.58,159.18,2.0,,,,,,1.46,0.312,https://www.tradingview.com/chart/?symbol=TJX
