ticker,score,zona,precio,ratio,precio_ars,rsi,estructura
SLV,3,Discount,66.21,1.0,100348.0,42.5,Alcista Debil
GLD,3,Discount,407.87,50.0,12363.0,38.7,Alcista Debil
GOLD,3,Discount,39.23,2.0,29728.0,38.6,Alcista Debil
ANF,3,Near Discount,76.42,1.0,115822.0,44.9,Alcista Debil
BYMA.BA,3,Near Discount,293.0,1.0,293.0,47.9,Alcista Debil
